"key","en","vi"
"AdventurersGuild.adventurersGuildMenuName","&6&lAdventurer's Hub","&6&lTrung Tâm Phiêu Lưu"
"AdventurersGuild.gearRestrictionMessage","&c[EM] You need $skillType level $itemLevel to equip this! (Current: $skillLevel)","&c[EM] Bạn cần $skillType cấp $itemLevel để trang bị vật này! (Hiện tại: $skillLevel)"
"AntiExploit.antiExploitMessage","&c[EM AntiExploit] &7Nearby elite won't drop special loot.","&c[EM AntiExploit] &7Elite gần đây sẽ không rơi chiến lợi phẩm đặc biệt."
"AntiExploit.antiExploitOpPrefix"," OP-only:"," Chỉ OP:"
"Arenas.arenaFullMessage","&4[EliteMobs] &cArena is full! You can spectate instead while you wait for it to finish!","&4[EliteMobs] &cĐấu trường đã đầy! Bạn có thể xem thay vào đó trong khi chờ nó kết thúc!"
"Arenas.arenaJoinPlayerMessage","&2[EliteMobs] &aYou can start the arena by doing &2/em start &aif there are at least &2$count &aplayers in it! 
You can leave the arena by doing &c/em quit","&2[EliteMobs] &aBạn có thể bắt đầu đấu trường bằng &2/em start &anếu có ít nhất &2$count &angười chơi!
Bạn có thể rời đấu trường bằng &c/em quit"
"Arenas.arenaJoinSpectatorMessage","&2[EliteMobs] &aYou can leave the arena at any time using &2/em quit","&2[EliteMobs] &aBạn có thể rời đấu trường bất kỳ lúc nào bằng &2/em quit"
"Arenas.arenasOngoingMessage","&4[EliteMobs] &cCan't join the arena now - a match is currently happening! You can spectate instead while you wait for it to finish!","&4[EliteMobs] &cKhông thể tham gia đấu trường lúc này - trận đấu đang diễn ra! Bạn có thể xem thay vào đó!"
"Arenas.defeatSubtitle","&cReached wave &4$wave&c!","&cĐã đến đợt &4$wave&c!"
"Arenas.defeatTitle","&4Defeat!","&4Thất bại!"
"Arenas.instanceQuitHintMessage","&4[EliteMobs] &cYou can leave the instance by doing &4/em quit","&4[EliteMobs] &cBạn có thể rời khu vực bằng &4/em quit"
"Arenas.instanceStartHintMessage","&2[EliteMobs] &aYou can start the instance by doing &2/em start","&2[EliteMobs] &aBạn có thể bắt đầu khu vực bằng &2/em start"
"Arenas.joinPlayerSubtitle","&cLeave with &4/em quit &c!","&cRời bằng &4/em quit &c!"
"Arenas.joinPlayerTitle","&aStart with &2/em start &a!","&aBắt đầu với &2/em start &a!"
"Arenas.joinSpectatorSubtitle","&cLeave with &4/em quit &c!","&cRời bằng &4/em quit &c!"
"Arenas.joinSpectatorTitle","&aNow spectating!","&aĐang xem!"
"Arenas.noArenaPermissionMessage","[EliteMobs] You don't have the permission to enter this arena!","[EliteMobs] Bạn không có quyền vào đấu trường này!"
"Arenas.notEnoughPlayersMessage","&8[EliteMobs] &cYou need at least $amount to start the match!","&8[EliteMobs] &cBạn cần ít nhất $amount để bắt đầu trận đấu!"
"Arenas.startingMessage","&2Starting!","&2Đang bắt đầu!"
"Arenas.startingSubtitle","&2in $count...","&2sau $count..."
"Arenas.victoryBroadcast","Arena $arenaName was conquered by $players!","Đấu trường $arenaName đã bị chinh phục bởi $players!"
"Arenas.victorySubtitle","&aCompleted &2$wave &awaves!","&aHoàn thành &2$wave &ađợt!"
"Arenas.victoryTitle","&2Victory!","&2Chiến thắng!"
"Arenas.waveTitle","&aWave &2$wave","&aĐợt &2$wave"
"BB_CircleTemple_Barren_Boss.name","$minibossLevel &2Puppy","$minibossLevel &2Cún Con"
"BB_CircleTemple_Desert_Boss.name","$minibossLevel &6Pharaoh","$minibossLevel &6Pharaoh"
"BB_CircleTemple_End_Boss.name","$minibossLevel &5King of the Underworld","$minibossLevel &5Vua Địa Ngục"
"BB_CircleTemple_Grasslands_Boss.name","$minibossLevel &dKnight","$minibossLevel &dKỵ Sĩ"
"BB_CircleTemple_Nether_Boss.name","$minibossLevel &4Corrupted Horror","$minibossLevel &4Quái Vật Bị Tha Hóa"
"BB_CircleTemple_Tundra_Boss.name","$minibossLevel &9Fenrir","$minibossLevel &9Fenrir"
"BB_Flagship_Grasslands_Boss.name","$bossLevel &0Mortician","$bossLevel &0Người Lo Tang"
"BB_Flagship_Grasslands_Miniboss.name","$bossLevel &0Priest","$bossLevel &0Thầy Tu"
"BB_Flagship_Grasslands_Miniboss2.name","$bossLevel &0Guard","$bossLevel &0Lính Canh"
"BB_FloatingCave_Barren_Boss.name","$minibossLevel &2Skeleton Reaper","$minibossLevel &2Thần Chết Xương"
"BB_FloatingCave_Desert_Boss.name","$minibossLevel &6Junior Detonator","$minibossLevel &6Kẻ Kích Nổ Nhỏ"
"BB_FloatingCave_End_Boss.name","$minibossLevel &5Skyraider","$minibossLevel &5Cướp Bầu Trời"
"BB_FloatingCave_Grasslands_Boss.name","$minibossLevel &dTarantula","$minibossLevel &dNhện Tarantula"
"BB_FloatingCave_Nether_Boss.name","$minibossLevel &4Bandit Leader","$minibossLevel &4Thủ Lĩnh Cướp"
"BB_FloatingCave_Tundra_Boss.name","$minibossLevel &9Neith's Recruit","$minibossLevel &9Lính Mới của Neith"
"BB_HiddenChamber_Barren_Boss.name","$minibossLevel &2Weaver","$minibossLevel &2Thợ Dệt"
"BB_HiddenChamber_Desert_Boss.name","$minibossLevel &6Firecore","$minibossLevel &6Lõi Lửa"
"BB_HiddenChamber_End_Boss.name","$minibossLevel &5Worm Queen","$minibossLevel &5Nữ Hoàng Sâu"
"BB_HiddenChamber_Grasslands_Boss.name","$minibossLevel &dSorcerer","$minibossLevel &dPháp Sư"
"BB_HiddenChamber_Nether_Boss.name","$minibossLevel &4PinkPyre","$minibossLevel &4Ngọn Lửa Hồng"
"BB_HiddenChamber_Tundra_Boss.name","$minibossLevel &9Chamber Guardian","$minibossLevel &9Người Giữ Phòng"
"BB_HiddenChamber_Tundra_Reinforcement.name","$reinforcementLevel &9Helper","$reinforcementLevel &9Người Hỗ Trợ"
"BB_SurfaceDungeon_Barren_Boss.name","$minibossLevel &2Dungeon Keeper","$minibossLevel &2Người Giữ Hầm Ngục"
"BB_SurfaceDungeon_Desert_Boss.name","$minibossLevel &6Totemic Beast","$minibossLevel &6Linh Thú Totem"
"BB_SurfaceDungeon_End_Boss.name","$minibossLevel &5The shadow","$minibossLevel &5Bóng Tối"
"BB_SurfaceDungeon_End_Reinforcement.name","$minibossLevel &5The shadow","$minibossLevel &5Bóng Tối"
"BB_SurfaceDungeon_Grasslands_Boss.name","$minibossLevel &dDungeon Master","$minibossLevel &dChúa Tể Hầm Ngục"
"BB_SurfaceDungeon_Nether_Boss.name","$minibossLevel &4Ziburini","$minibossLevel &4Ziburini"
"BB_SurfaceDungeon_Tundra_Boss.name","$minibossLevel &9Frozen Archer","$minibossLevel &9Cung Thủ Đóng Băng"
"BB_TeethArena_Barren_Boss.name","$minibossLevel &2Zombie Chief","$minibossLevel &2Thủ Lĩnh Zombie"
"BB_TeethArena_Desert_Boss.name","$minibossLevel &6Infected Villager","$minibossLevel &6Dân Làng Bị Nhiễm"
"BB_TeethArena_End_Boss.name","$minibossLevel &5Voider","$minibossLevel &5Kẻ Hư Không"
"BB_TeethArena_Grasslands_Boss.name","$minibossLevel &dBeast Tamer","$minibossLevel &dNgười Thuần Thú"
"BB_TeethArena_Nether_Boss.name","$minibossLevel &4Energizer","$minibossLevel &4Kẻ Tiếp Năng"
"BB_TeethArena_Tundra_Boss.name","$minibossLevel &9Sniper","$minibossLevel &9Xạ Thủ"
"BB_ThroneRoom_Barren_Boss.name","$minibossLevel &2Earth Summoner","$minibossLevel &2Pháp Sư Triệu Hồi Đất"
"BB_ThroneRoom_Desert_Boss.name","$minibossLevel &6Darklord","$minibossLevel &6Chúa Tể Bóng Tối"
"BB_ThroneRoom_Desert_Reinforcement.name","$minibossLevel &6Creature","$minibossLevel &6Sinh Vật"
"BB_ThroneRoom_End_Boss.name","$minibossLevel &5Bug","$minibossLevel &5Côn Trùng"
"BB_ThroneRoom_Grasslands_Boss.name","$minibossLevel &dSilk Queen","$minibossLevel &dNữ Hoàng Tơ Lụa"
"BB_ThroneRoom_Nether_Boss.name","$minibossLevel &4Eye Of Terror","$minibossLevel &4Con Mắt Kinh Hoàng"
"BB_ThroneRoom_Nether_Reinforcement.name","$reinforcementLevel &cWatcher","$reinforcementLevel &cKẻ Quan Sát"
"BB_ThroneRoom_Tundra_Boss.name","$minibossLevel &aSlime King","$minibossLevel &aVua Slime"
"BB_Tower_Barren_Boss.name","$minibossLevel &2Glinda","$minibossLevel &2Glinda"
"BB_Tower_Desert_Boss.name","$minibossLevel &6Guard of the Citadel","$minibossLevel &6Lính Canh Thành Trì"
"BB_Tower_End_Boss.name","$minibossLevel &5Black Angel","$minibossLevel &5Thiên Thần Đen"
"BB_Tower_Grasslands_Boss.name","$minibossLevel &dCaster","$minibossLevel &dPháp Sư Phóng Chú"
"BB_Tower_Nether_Boss.name","$minibossLevel &4OverLord","$minibossLevel &4Bá Chủ"
"BB_Tower_Tundra_Boss.name","$minibossLevel &9Frosted Undead","$minibossLevel &9Xác Chết Đóng Băng"
"BB_WaterTubes_Barren_Boss.name","$minibossLevel &2Lost Pirate","$minibossLevel &2Cướp Biển Lạc Lối"
"BB_WaterTubes_Desert_Boss.name","$minibossLevel &6Architeuthis","$minibossLevel &6Architeuthis"
"BB_WaterTubes_End_Boss.name","$minibossLevel &5Worm Trainer","$minibossLevel &5Người Huấn Luyện Sâu"
"BB_WaterTubes_End_Reinforcement.name","Worm","Sâu"
"BB_WaterTubes_Grasslands_Boss.name","$minibossLevel &dSiren","$minibossLevel &dNữ Thần Biển"
"BB_WaterTubes_Nether_Boss.name","$minibossLevel &4Floating Horror","$minibossLevel &4Quái Vật Trôi Nổi"
"BB_WaterTubes_Tundra_Boss.name","$minibossLevel &9Nanook","$minibossLevel &9Nanook"
"CombatTag.combatTagMessage","&c[EliteMobs] Combat tag activated!","&c[EliteMobs] Đã kích hoạt thẻ chiến đấu!"
"CombatTag.teleportCancelled","&7[EM] &cTeleport interrupted!","&7[EM] &cDịch chuyển bị gián đoạn!"
"CombatTag.teleportTimeLeft","&7[EM] Teleporting in &a$time &7seconds...","&7[EM] Dịch chuyển sau &a$time &7giây..."
"EconomySettings.actionbarCurrencyShowerMessage","&7[EM] You've picked up &a$amount $currency_name!","&7[EM] Bạn đã nhặt &a$amount $currency_name!"
"EconomySettings.adventurersGuildNotificationMessages","&7[EM] Extra spending money? Try &a/ag !","&7[EM] Có thêm tiền tiêu? Thử &a/ag !"
"EconomySettings.chatCurrencyShowerMessage","&7[EM] You've picked up &a$amount $currency_name!","&7[EM] Bạn đã nhặt &a$amount $currency_name!"
"EconomySettings.currencyName","Elite Coins","Xu Elite"
"EconomySettings.economyCurrencyLeftMessage","You now have &2$amount_left $currency_name","Bạn hiện có &2$amount_left $currency_name"
"EconomySettings.economyPayMessageV2","&2You have paid &2$amount_sent $currency_name &2to $receiver&2, who got $amount_received after taxes!","&2Bạn đã trả &2$amount_sent $currency_name &2cho $receiver&2, người nhận được $amount_received sau thuế!"
"EconomySettings.economyPaymentInsufficientCurrency","&cYou don't have enough $currency_name to do that!","&cBạn không có đủ $currency_name để làm điều đó!"
"EconomySettings.economyPaymentReceivedMessage","You have received &2$amount_received $currency_name &ffrom $sender","Bạn đã nhận &2$amount_received $currency_name &ftừ $sender"
"EconomySettings.shopBatchSellItem","&aYou have sold your items &afor $currency_amount $currency_name!","&aBạn đã bán vật phẩm &avới giá $currency_amount $currency_name!"
"EconomySettings.shopBuyMessage","&aYou have bought $item_name &afor $item_value $currency_name!","&aBạn đã mua $item_name &avới giá $item_value $currency_name!"
"EconomySettings.shopCurrentBalanceMessage","&aYou have $currency_amount $currency_name.","&aBạn có $currency_amount $currency_name."
"EconomySettings.shopInsufficientFundsMessage","&cYou don't have enough $currency_name!","&cBạn không có đủ $currency_name!"
"EconomySettings.shopItemCostMessage","That item costs &c$item_value $currency_name.","Vật phẩm đó có giá &c$item_value $currency_name."
"EconomySettings.shopSaleInstructions","&cYou can only sell EliteMobs loot here! (Armor / weapons dropped from elites showing a value on their lore)","&cBạn chỉ có thể bán chiến lợi phẩm EliteMobs ở đây! (Giáp / vũ khí rơi từ elite có giá trị trong mô tả)"
"EconomySettings.shopSalePlayerItemsWarning","&cYou can't sell items that are not currently soulbound to you!","&cBạn không thể bán vật phẩm không ràng buộc linh hồn với bạn!"
"EconomySettings.shopSellMessage","&aYou have sold $item_name &afor $currency_amount $currency_name!","&aBạn đã bán $item_name &avới giá $currency_amount $currency_name!"
"EconomySettings.walletCommandMessage","You have &2$balance $currency_name","Bạn có &2$balance $currency_name"
"FloatingCave_nether_bandit_boots.lore[0]","Used to belong to the bandit leader.","Từng thuộc về thủ lĩnh cướp."
"FloatingCave_nether_bandit_boots.lore[1]","Will earn you respect among its kind.","Sẽ mang lại sự tôn trọng trong đồng loại."
"FloatingCave_nether_bandit_boots.name","&4Bandit Boots","&4Giày Cướp"
"FloatingCave_nether_bandit_chestplate.lore[0]","Used to belong to the bandit leader.","Từng thuộc về thủ lĩnh cướp."
"FloatingCave_nether_bandit_chestplate.lore[1]","Will earn you respect among its kind.","Sẽ mang lại sự tôn trọng trong đồng loại."
"FloatingCave_nether_bandit_chestplate.name","&4Bandit Chestplate","&4Giáp Ngực Cướp"
"FloatingCave_nether_bandit_leggings.lore[0]","Used to belong to the bandit leader.","Từng thuộc về thủ lĩnh cướp."
"FloatingCave_nether_bandit_leggings.lore[1]","Will earn you respect among its kind.","Sẽ mang lại sự tôn trọng trong đồng loại."
"FloatingCave_nether_bandit_leggings.name","&4Bandit Leggings","&4Quần Giáp Cướp"
"GamblingSettings.betting.adjustBetLore","&7Click to adjust bet by ","&7Nhấn để điều chỉnh cược "
"GamblingSettings.betting.affordableColor","&a","&a"
"GamblingSettings.betting.allInButton","&b&lALL IN","&b&lDỒN TẤT"
"GamblingSettings.betting.allInLore","&7Bet everything you have!","&7Cược tất cả những gì bạn có!"
"GamblingSettings.betting.availableCreditLabel","&7Available Credit: &e","&7Tín Dụng Khả Dụng: &e"
"GamblingSettings.betting.balanceLabel","&7Balance: &a","&7Số Dư: &a"
"GamblingSettings.betting.blackjackDescription","Get as close to 21 as possible without going over!","Đến gần 21 nhất có thể mà không vượt quá!"
"GamblingSettings.betting.blackjackName","Blackjack","Blackjack"
"GamblingSettings.betting.cancelLore","&7Click to leave the casino","&7Nhấn để rời sòng bạc"
"GamblingSettings.betting.cantAffordButton","&c&lCan't Afford","&c&lKhông Đủ Tiền"
"GamblingSettings.betting.cantAffordLore","&cYou can't afford this bet!","&cBạn không đủ tiền để đặt cược này!"
"GamblingSettings.betting.casinoClosedMessage","&c[Casino] The casino is currently closed!","&c[Sòng Bạc] Sòng bạc hiện đang đóng cửa!"
"GamblingSettings.betting.clickPlayLore","&7Click Play to start!","&7Nhấn Chơi để bắt đầu!"
"GamblingSettings.betting.coinFlipDescription","Heads or Tails? Simple 50/50 chance!","Ngửa hay Sấp? Cơ hội 50/50 đơn giản!"
"GamblingSettings.betting.coinFlipName","Coin Flip","Tung Đồng Xu"
"GamblingSettings.betting.currentBetPrefix","Current Bet: ","Cược Hiện Tại: "
"GamblingSettings.betting.debtLabel","&7Debt: &c","&7Nợ: &c"
"GamblingSettings.betting.higherLowerDescription","Guess if the next card is higher or lower!","Đoán xem lá bài tiếp theo cao hơn hay thấp hơn!"
"GamblingSettings.betting.higherLowerName","Higher or Lower","Cao hay Thấp"
"GamblingSettings.betting.maxAvailableLabel","&7Max available: &6","&7Tối đa khả dụng: &6"
"GamblingSettings.betting.reduceBetLore","&7Reduce your bet or pay off debt","&7Giảm cược hoặc trả nợ"
"GamblingSettings.betting.resetButton","&8&lRESET","&8&lĐẶT LẠI"
"GamblingSettings.betting.resetLore","&7Reset to minimum bet: &6","&7Đặt lại về cược tối thiểu: &6"
"GamblingSettings.betting.selectBetLore","&eSelect your bet amount below!","&eChọn số tiền cược bên dưới!"
"GamblingSettings.betting.slotsDescription","Match three symbols to win big!","Khớp ba ký hiệu để thắng lớn!"
"GamblingSettings.betting.slotsName","Slot Machine","Máy Đánh Bạc"
